approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Longest;400;9;400;400;9833;21;0.7147043463123077;0.0;0.10663485527038574;0.022291183471679688
Longest;500;0;500;500;11891;21;0.7107023818212783;0.0;0.11005377769470215;595.9304392337799
Longest;500;1;500;500;11891;21;0.7107023818212783;0.0;0.1105494499206543;0.026590347290039062
Longest;500;2;500;500;11891;21;0.7107023818212783;0.0;0.10604000091552734;0.026968717575073242
Longest;500;3;500;500;11891;21;0.7107023818212783;0.0;0.11136651039123535;0.026767969131469727
Longest;500;4;500;500;11891;21;0.7107023818212783;0.0;0.1148672103881836;0.0285794734954834
Longest;500;5;500;500;11891;21;0.7107023818212783;0.0;0.11364936828613281;0.026713848114013672
Longest;500;6;500;500;11891;21;0.7107023818212783;0.0;0.1146552562713623;0.02702784538269043
Longest;500;7;500;500;11891;21;0.7107023818212783;0.0;0.10671377182006836;0.02776789665222168
Longest;500;8;500;500;11891;21;0.7107023818212783;0.0;0.10404825210571289;0.02721548080444336
Longest;500;9;500;500;11891;21;0.7107023818212783;0.0;0.11208724975585938;0.027338027954101562
Feature;100;0;82;82;1029;20;0.715824357912179;2.3683176040649414;3.8019611835479736;55.9652419090271
Feature;100;1;81;84;926;20;0.7154271665642287;2.371175527572632;3.5807135105133057;137.24432516098022
Feature;100;2;81;78;889;20;0.7267138026437134;2.36616587638855;2.6363251209259033;91.70891427993774
Feature;100;3;81;80;1052;20;0.7048260381593715;2.352262020111084;3.4759678840637207;141.90706634521484
Feature;100;4;84;81;1061;20;0.7073103448275861;2.369764804840088;2.3123855590820312;110.3038923740387
Feature;100;5;80;77;918;19;0.7065217391304348;2.350025177001953;2.673853874206543;110.52822756767273
Feature;100;6;86;82;1044;20;0.7061638052350127;2.3613245487213135;2.7943241596221924;139.04850053787231
Feature;100;7;79;78;1011;20;0.7093156986774007;2.3700783252716064;2.8472506999969482;142.63043642044067
Feature;100;8;88;87;1009;19;0.7139211794726397;2.356675148010254;2.510284900665283;88.53550791740417
Feature;100;9;84;82;1009;19;0.7233342473265698;2.373622417449951;3.1643362045288086;85.82839035987854
Feature;200;0;153;152;1797;21;0.7133056796426293;2.3767242431640625;15.047292470932007;192.35918641090393
Feature;200;1;156;160;1987;20;0.7044034513537638;2.3526504039764404;10.598298072814941;240.3821301460266
Feature;200;2;152;154;1929;20;0.7032764190124596;2.3566722869873047;14.248321056365967;224.9043276309967
Feature;200;3;155;159;1787;20;0.7261722341403616;2.3360884189605713;10.260711908340454;148.97214341163635
Feature;200;4;157;157;2087;20;0.7067172568858909;2.5720765590667725;8.969327449798584;197.59733700752258
Feature;200;5;163;160;2136;20;0.6977501061270694;2.3648557662963867;12.481770038604736;212.5215744972229
Feature;200;6;159;159;1967;20;0.7120480163958425;2.6096839904785156;10.14127230644226;183.73487782478333
Feature;200;7;158;158;1914;19;0.7141150112023898;2.371577501296997;10.239415168762207;137.14994955062866
Feature;200;8;156;161;2049;20;0.7149019062195632;2.3721420764923096;12.776736974716187;155.7778675556183
Feature;200;9;150;157;1849;21;0.7179682733374009;2.3761935234069824;11.977751016616821;169.77102375030518
Feature;300;0;212;218;2703;21;0.7101651297447995;2.3598334789276123;24.49511194229126;269.5854482650757
Feature;300;1;244;249;3213;20;0.7004754358161649;2.3523247241973877;26.91001057624817;330.9493296146393
Feature;300;2;224;239;2950;20;0.7097028144066129;2.399108648300171;21.56359624862671;211.5277636051178
Feature;300;3;224;227;2945;20;0.7097664334285996;2.364957094192505;24.739092588424683;229.0657696723938
Feature;300;4;224;247;2789;20;0.7170825725299249;2.5765206813812256;22.14008855819702;224.0004119873047
Feature;300;5;227;235;2864;20;0.7144281583408116;2.3780970573425293;22.906334400177002;181.67986011505127
Feature;300;6;233;245;3066;20;0.7091357556209088;2.378170967102051;23.303023099899292;215.74181604385376
Feature;300;7;230;243;2842;20;0.7232986077305034;2.3632054328918457;23.347241163253784;204.09531092643738
Feature;300;8;236;242;2906;21;0.7080570624874423;2.3567771911621094;18.471787452697754;133.88593864440918
Feature;300;9;238;245;2836;20;0.7119642494413976;2.365696668624878;26.308361768722534;175.39429783821106
Feature;400;0;289;317;3717;20;0.7128842885833462;2.351005792617798;40.62695050239563;182.90504431724548
Feature;400;1;311;326;4023;21;0.7018674966651846;2.391146421432495;37.02277207374573;175.98286390304565
Feature;400;2;297;316;3952;21;0.7097958584226759;2.5623536109924316;45.66150999069214;158.26684999465942
Feature;400;3;311;329;3921;20;0.7176902584779321;2.381978988647461;41.337058305740356;178.25676894187927
Feature;400;4;285;307;3329;20;0.7371703773882836;2.384564161300659;45.33069658279419;170.15299248695374
Feature;400;5;304;319;3947;21;0.7106304985337244;2.355417490005493;44.54473686218262;175.94228672981262
Feature;400;6;297;309;3822;20;0.7217935652933469;2.354614734649658;46.99569082260132;148.7289319038391
