approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Longest;200;8;200;152;261;14;0.9623104693140794;0.0;0.012763261795043945;0.006049156188964844
Longest;200;9;200;152;261;14;0.9623104693140794;0.0;0.011254310607910156;0.0049266815185546875
Longest;300;0;300;209;348;14;0.9621451104100947;0.0;0.01563429832458496;0.011544466018676758
Longest;300;1;300;209;348;14;0.9621451104100947;0.0;0.018797874450683594;0.012796640396118164
Longest;300;2;300;209;348;14;0.9621451104100947;0.0;0.019343852996826172;0.010050773620605469
Longest;300;3;300;209;348;14;0.9621451104100947;0.0;0.016765356063842773;0.008075714111328125
Longest;300;4;300;209;348;14;0.9621451104100947;0.0;0.016401290893554688;0.009452342987060547
Longest;300;5;300;209;348;14;0.9621451104100947;0.0;0.01905679702758789;0.011857271194458008
Longest;300;6;300;209;348;14;0.9621451104100947;0.0;0.015410661697387695;0.011420726776123047
Longest;300;7;300;209;348;14;0.9621451104100947;0.0;0.013722658157348633;0.008290767669677734
Longest;300;8;300;209;348;14;0.9621451104100947;0.0;0.014750003814697266;0.011240005493164062
Longest;300;9;300;209;348;14;0.9621451104100947;0.0;0.013338088989257812;0.011295318603515625
Longest;400;0;400;259;423;14;0.9625961623485719;0.0;0.01634073257446289;0.010178804397583008
Longest;400;1;400;259;423;14;0.9625961623485719;0.0;0.014385461807250977;0.012846708297729492
Longest;400;2;400;259;423;14;0.9625961623485719;0.0;0.014523744583129883;0.013385295867919922
Longest;400;3;400;259;423;14;0.9625961623485719;0.0;0.01522517204284668;0.011756181716918945
Longest;400;4;400;259;423;14;0.9625961623485719;0.0;0.017187118530273438;0.013085126876831055
Longest;400;5;400;259;423;14;0.9625961623485719;0.0;0.02149653434753418;0.0165557861328125
Longest;400;6;400;259;423;14;0.9625961623485719;0.0;0.017972946166992188;0.01720595359802246
Longest;400;7;400;259;423;14;0.9625961623485719;0.0;0.020998239517211914;0.017388343811035156
Longest;400;8;400;259;423;14;0.9625961623485719;0.0;0.02286696434020996;0.011829853057861328
Longest;400;9;400;259;423;14;0.9625961623485719;0.0;0.01746988296508789;0.009847640991210938
Longest;500;0;500;311;501;14;0.9622627297378729;0.0;0.015781641006469727;0.018576622009277344
Longest;500;1;500;311;501;14;0.9622627297378729;0.0;0.014587640762329102;0.016577482223510742
Longest;500;2;500;311;501;14;0.9622627297378729;0.0;0.012373924255371094;0.015105485916137695
Longest;500;3;500;311;501;14;0.9622627297378729;0.0;0.017478227615356445;0.011594533920288086
Longest;500;4;500;311;501;14;0.9622627297378729;0.0;0.013255119323730469;0.014134883880615234
Longest;500;5;500;311;501;14;0.9622627297378729;0.0;0.011032342910766602;0.013600349426269531
Longest;500;6;500;311;501;14;0.9622627297378729;0.0;0.01223897933959961;0.009210348129272461
Longest;500;7;500;311;501;14;0.9622627297378729;0.0;0.011139869689941406;0.0144195556640625
Longest;500;8;500;311;501;14;0.9622627297378729;0.0;0.02062368392944336;0.015803098678588867
Longest;500;9;500;311;501;14;0.9622627297378729;0.0;0.012673377990722656;0.014767646789550781
Feature;100;0;88;81;185;12;0.9160236041761235;0.6368153095245361;0.7185187339782715;0.0021414756774902344
Feature;100;1;77;86;201;11;0.8939313984168865;0.6849813461303711;0.7166528701782227;0.002212047576904297
Feature;100;2;85;84;174;12;0.917963224893918;0.585756778717041;0.7023985385894775;0.001981496810913086
Feature;100;3;83;82;185;14;0.9151765245300321;0.5785298347473145;0.7009034156799316;0.0018358230590820312
Feature;100;4;92;86;179;12;0.9209363957597173;0.57767653465271;0.7517778873443604;0.002226591110229492
Feature;100;5;82;82;184;13;0.8965711073636875;0.5932638645172119;0.5835340023040771;0.0015301704406738281
Feature;100;6;81;79;178;13;0.9179345320424158;0.6351823806762695;0.7148556709289551;0.0018649101257324219
Feature;100;7;90;79;166;12;0.9194174757281554;0.5853140354156494;0.6515557765960693;0.001829385757446289
Feature;100;8;83;80;183;13;0.9138418079096046;0.592308759689331;0.7711308002471924;0.0020079612731933594
Feature;100;9;81;81;195;12;0.9078014184397163;0.6204483509063721;0.7883498668670654;0.0018286705017089844
Feature;200;0;168;170;354;13;0.917231704465747;0.6093032360076904;2.017706871032715;0.004862785339355469
Feature;200;1;162;161;377;13;0.9112523540489642;0.5970075130462646;1.6253111362457275;0.00523829460144043
Feature;200;2;161;163;382;13;0.9154493138556884;0.6057240962982178;1.8603227138519287;0.004804372787475586
Feature;200;3;158;165;374;13;0.9108462455303933;0.6226837635040283;1.6837408542633057;0.003461599349975586
Feature;200;4;168;161;364;14;0.9192188193519751;0.5409402847290039;1.8270554542541504;0.0036606788635253906
Feature;200;5;159;169;394;14;0.8994897959183673;0.6358225345611572;1.8840336799621582;0.0040094852447509766
Feature;200;6;167;164;378;13;0.912782648823258;0.584087610244751;1.938126802444458;0.004096031188964844
Feature;200;7;156;165;380;13;0.9115662089830114;0.5826923847198486;1.7627708911895752;0.004204511642456055
Feature;200;8;172;159;356;13;0.9238665526090676;0.6271698474884033;1.9435813426971436;0.004548072814941406
Feature;200;9;155;168;396;13;0.9089445849620602;0.5811574459075928;1.9542999267578125;0.0037965774536132812
Feature;300;0;238;242;570;13;0.9123616236162362;0.5646774768829346;2.996250867843628;0.005135297775268555
Feature;300;1;248;249;547;13;0.9141826168810794;0.571143388748169;3.6352884769439697;0.008301973342895508
Feature;300;2;251;250;546;13;0.9160774669535813;0.6706490516662598;3.2728991508483887;0.00673222541809082
Feature;300;3;243;240;537;13;0.9160675211003438;0.6074607372283936;3.193861484527588;0.005934238433837891
Feature;300;4;238;240;562;13;0.909500805152979;0.6027576923370361;2.763072967529297;0.005654096603393555
Feature;300;5;241;247;552;13;0.9143787808282923;0.6110093593597412;3.0001745223999023;0.005774736404418945
Feature;300;6;242;246;555;13;0.9147334459978491;0.5937843322753906;3.057105541229248;0.005798816680908203
